Z,Nº,Centro de Salud,Calle,Altura,Localidad,Horarios,Telefono
1,1,GENERAL MOSCONI,Pedro Naon,1330,Cordoba,7-21 hs,4335102 / 5428
3,2,LOS SAUCES,Algarrobo,351,Cordoba,7-19 hs,4338516
2,3,LOS PINOS,Pje. Gable Car,3786,Cordoba,7-14hs,4339101
1,4,NUEVA ITALIA,Jose de Quevedo,2430,Cordoba,7-17 hs,4335123
2,5,YOFRE  NORTE,Rene de Clairiac,1875,Cordoba,7-14 hs,4339103
6,6,VILLA RIVERA INDARTE,Chamico esq. Reartes,NA,Cordoba,7-16.12 hs,03543-449420
2,7,PUEYRREDON,Pje Urtubey,2350,Cordoba,7-15 hs,4339135 / 9109
2,8,ACOSTA,Corrientes esq Río Paraná,NA,Cordoba,7-14 hs,4338551
5,9,ALBEDI OESTE,Dr. Pedro Chutro,169,Cordoba,7-17 hs,4337309/7362
2,10,COLONIA LOLA,Lola Mora,1324,Cordoba,7-17 hs,4338763 / 8552
3,11,COLON y GRISOL,Tolosa esq. Castilla,2564,Cordoba,7-14 hs,4338750 / 60
3,12,FERREYRA,Armas Argentinas,5747,Cordoba,07/19 hs,4338630
1,13,HIPOLITO YRIGOYEN,Avellaneda,3571,Cordoba,7-14 hs,4335435
1,14,GENERAL BUSTOS,Diagonal IKA,1010,Cordoba,"7-15,30 hs",4336003
1,15,REMEDIOS DE ESCALA,Calle 5 entre 14 y 15,NA,Cordoba,7-14 hs,4332860/61
6,16,ZUMARAN,Sebastian Gaboto,2356,Cordoba,7-14.42 hs,4335108 / 5438
1,17,VILLA AZALAIS OESTE,Acampes,3243,Cordoba,7-14 hs,4335109 / 5436
1,18,SAN JORGE,Barrancas del Parana esq. Jose Melian,NA,Cordoba,7-18 hs,4335103/ 5429
1,19,SARGENTO CABRAL,Francisco Suarez,3170,Cordoba,7-14  hs,4335110 / 5439
6,20,LAS MARGARITAS,Herminio Malvino,2662,Cordoba,7-14.12 hs,4335104 / 5440
6,21,MARQUEZ DE SOBREM,Nuflo de Aguilar esq. Tomas de Irobi,5441,Cordoba,7-14.12 hs,4335105/ 5441
5,22,ALBERDI SUD,Gavino Blanco,2229,Cordoba,7-14 hs,4337310 / 7364
5,23,ROSEDAL ANEXO,Padre Lozano,2490,Cordoba,7-14 hs,4333302
4,24,CUPANI,Isaac Albeniz,1454,Cordoba,7-14  hs,4333303 / 3518
1,25,SAN MARTIN,Uspallata,991,Cordoba,Mi. - 14hs           L.M.J.V - 18hs,4336021
5,26,SANTA ANA,Gurruchaga,785,Cordoba,7-19 hs,4337306
3,27,PILAR,Tapalque esq. Patagonia,NA,Cordoba,7-14 hs,4338553
5,28,LAS VIOLETAS,Formosa,4899,Cordoba,7-17  hs,4337302
5,29,VILLA SIBURU,Boderau,3640,Cordoba,7 -18  hs,4337307
5,30,VILLA PAEZ,Emilio Conti,1050,Cordoba,7-18  hs,4337308
6,31,LA SALLE,Curacen,6500,Cordoba,7-15 hs,03543-449427
2,32,YAPEYU,Loreto,42,Cordoba,7-20 hs,4339110/36
6,33,ARGUELLO,Gabriel Ortega,7375,Cordoba,7-15.12hs,0351-156100451
6,34,Villa 9 de Julio,Coquena,7850,Cordoba,7-15 hs,03543-449428/22
3,35,VILLA REVOL,Chascomus,1750,Cordoba,7-19 hs,4334359/51
3,37,PATRICIA BARRERA Bº Jose Ignacio Diaz II,Gral Pedernera,2734,Cordoba,7-17hs,4338758
3,38,URQUIZA,Miguel de Marmol,2956,Cordoba,7-14 hs,4338555/ 38765
4,39,FERRER,Bustos,3100,Cordoba,7-14 hs,4334355
