"","prov","depto","localidad","casos","fallecidos","altas","fechaact","fuente"
"1","CABA",NA,"FLORES",100,NA,NA,"25/4/2020","SNVS"
"2","CABA",NA,"BELGRANO",68,NA,NA,"25/4/2020","SNVS"
"3","CABA",NA,"VILLA REAL",7,NA,NA,"25/4/2020","SNVS"
"4","CABA",NA,"MONTE CASTRO",17,NA,NA,"25/4/2020","SNVS"
"5","CABA",NA,"BALVANERA",65,NA,NA,"25/4/2020","SNVS"
"6","CABA",NA,"PARQUE CHAS",8,NA,NA,"25/4/2020","SNVS"
"7","CABA",NA,"SAN NICOLAS",11,NA,NA,"25/4/2020","SNVS"
"8","CABA",NA,"RECOLETA",58,NA,NA,"25/4/2020","SNVS"
"9","CABA",NA,"VILLA SANTA RITA",12,NA,NA,"25/4/2020","SNVS"
"10","CABA",NA,"PALERMO",81,NA,NA,"25/4/2020","SNVS"
"11","CABA",NA,"NUEVA POMPEYA",15,NA,NA,"25/4/2020","SNVS"
"12","CABA",NA,"SAN TELMO",7,NA,NA,"25/4/2020","SNVS"
"13","CABA",NA,"MONSERRAT",12,NA,NA,"25/4/2020","SNVS"
"14","CABA",NA,"PUERTO MADERO",2,NA,NA,"25/4/2020","SNVS"
"15","CABA",NA,"FLORESTA",11,NA,NA,"25/4/2020","SNVS"
"16","CABA",NA,"VILLA URQUIZA",27,NA,NA,"25/4/2020","SNVS"
"17","CABA",NA,"CHACARITA",8,NA,NA,"25/4/2020","SNVS"
"18","CABA",NA,"SAN CRISTOBAL",14,NA,NA,"25/4/2020","SNVS"
"19","CABA",NA,"VILLA GRAL. MITRE",10,NA,NA,"25/4/2020","SNVS"
"20","CABA",NA,"VILLA DEVOTO",19,NA,NA,"25/4/2020","SNVS"
"21","CABA",NA,"VILLA RIACHUELO",4,NA,NA,"25/4/2020","SNVS"
"22","CABA",NA,"ALMAGRO",37,NA,NA,"25/4/2020","SNVS"
"23","CABA",NA,"COGHLAN",5,NA,NA,"25/4/2020","SNVS"
"24","CABA",NA,"VILLA DEL PARQUE",14,NA,NA,"25/4/2020","SNVS"
"25","CABA",NA,"LINIERS",11,NA,NA,"25/4/2020","SNVS"
"26","CABA",NA,"VILLA CRESPO",20,NA,NA,"25/4/2020","SNVS"
"27","CABA",NA,"PARQUE AVELLANEDA",13,NA,NA,"25/4/2020","SNVS"
"28","CABA",NA,"SAAVEDRA",11,NA,NA,"25/4/2020","SNVS"
"29","CABA",NA,"RETIRO",14,NA,NA,"25/4/2020","SNVS"
"30","CABA",NA,"COLEGIALES",11,NA,NA,"25/4/2020","SNVS"
"31","CABA",NA,"VILLA PUEYRREDON",8,NA,NA,"25/4/2020","SNVS"
"32","CABA",NA,"VELEZ SARSFIELD",7,NA,NA,"25/4/2020","SNVS"
"33","CABA",NA,"BOEDO",9,NA,NA,"25/4/2020","SNVS"
"34","CABA",NA,"CABALLITO",32,NA,NA,"25/4/2020","SNVS"
"35","CABA",NA,"PARQUE PATRICIOS",7,NA,NA,"25/4/2020","SNVS"
"36","CABA",NA,"PATERNAL",3,NA,NA,"25/4/2020","SNVS"
"37","CABA",NA,"AGRONOMIA",2,NA,NA,"25/4/2020","SNVS"
"38","CABA",NA,"PARQUE CHACABUCO",8,NA,NA,"25/4/2020","SNVS"
"39","CABA",NA,"VILLA ORTUZAR",3,NA,NA,"25/4/2020","SNVS"
"40","CABA",NA,"CONSTITUCION",6,NA,NA,"25/4/2020","SNVS"
"41","CABA",NA,"VILLA LUGANO",17,NA,NA,"25/4/2020","SNVS"
"42","CABA",NA,"NUÑEZ",7,NA,NA,"25/4/2020","SNVS"
"43","CABA",NA,"VILLA LURO",4,NA,NA,"25/4/2020","SNVS"
"44","CABA",NA,"BARRACAS",9,NA,NA,"25/4/2020","SNVS"
"45","CABA",NA,"BOCA",4,NA,NA,"25/4/2020","SNVS"
"46","CABA",NA,"MATADEROS",4,NA,NA,"25/4/2020","SNVS"
"47","CABA",NA,"VILLA SOLDATI",2,NA,NA,"25/4/2020","SNVS"
"48","CABA",NA,"VERSALLES",0,NA,NA,"25/4/2020","SNVS"
