"","CODIGO","GLN","NOMBRE","CODIGO_TIPOLOGIA","TIPOLOGIA","CODIGO_CATEGORIA_TIPOLOGIA","CATEGORIA_TIPOLOGIA","CODIGO_DEPENDENCIA","DEPENDENCIA","ORIGEN_FINANCIAMIENTO","CODIGO_PROVINCIA","PROVINCIA","CODIGO_DEPARTAMENTO","DEPARTAMENTO","CODIGO_LOCALIDAD","LOCALIDAD","CP","DOMICILIO","TE1","TE2","TE3","TE4","LATITUD","LONGITUD","ESTADO_GEO"
"1",50020012315826,NA,"CENTRO MEDICO MADEROMED","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",1,"COMUNA 1",2001010003,"PUERTO MADERO","1007","Olga Cossettini 731 3º Piso","(011) 5272-4800","","","",-34.6058373336537,-58.3640098571777,"-seleccione-"
"2",50020012315856,NA,"CENTRO ODONTOLOGICO URQUIZA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",3,"COMUNA 3",2003010002,"SAN CRISTOBAL","1221","General Urquiza 835","011-49317124","","","",-34.6205302756523,-58.4090709686279,"-seleccione-"
"3",50020012315911,NA,"CENTRO MEDICO GEMA","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","C1425BGN","Avenida Santa Fe 2534 1º B","(011) 5275-0433","(011) 5778-8001/2/3/4","","",-34.5941870907327,-58.4029576779722,"-seleccione-"
"4",50020012315913,NA,"CETRO - CENTRO DE TRAUMATOLOGIA Y REHABILITACION","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",13,"COMUNA 13",2013010002,"COLEGIALES","1426","Zabala 2535","(011) 4786-1050","","","",-34.5695883384709,-58.4503984451294,"-seleccione-"
"5",50020012315560,NA,"CEDITRIN - CENTRO DE DIAGNOSTICO Y TRATAMIENTO INTEGRAL","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con atención médica diaria y con especialidades y/o otras profesiones",23,"Privado","Privado",2,"CABA",3,"COMUNA 3",2003010001,"BALVANERA","1209","Avenida Belgrano 2975","(011) 4957-7796","","","",-34.6151620022003,-58.407826423645,"-seleccione-"
"6",52020012315753,NA,"CENTRO INTEGRAL DE REHABILIATCION DEL AFASICO (CIRA)","ESSIT","Establecimiento de salud sin internación de tratamiento","ESSIT","Centro de salud mental",23,"Privado","Privado",2,"CABA",5,"COMUNA 5",2005010001,"ALMAGRO","1177","Colombres 229","(011) 4957-1120/1792","","","",-34.6152326396315,-58.4184265136719,"-seleccione-"
"7",50020012315927,NA,"CENTRO MEDICO PALPA DEL HOSPITAL ITALIANO","ESSIDT","Establecimiento de salud sin internación de diagnóstico y tratamiento","ESSDIT","Con guardia permanente",23,"Privado","Privado",2,"CABA",13,"COMUNA 13",2013010002,"COLEGIALES","1426","Palpa 2680","(011) 4783-9666","","","",-34.5717068310936,-58.4485337735532,"-seleccione-"
"8",50020012315949,NA,"MEDE - CENTRO MEDICO DE MEDICINA DEL TRABAJO SA","ESSID","Establecimiento de salud sin internación de diagnóstico","ESSID","Medicina Laboral",23,"Privado","Privado",2,"CABA",5,"COMUNA 5",2005010002,"BOEDO","C1230ABL","Carlos Calvo 3670 / 74","(011) 4932-3737","","","",-34.6242384196715,-58.4168815612793,"-seleccione-"
"9",10020012315461,NA,"CLINICA NUEVO PALERMO","ESCIG","Establecimiento de salud con internación general","ESCIG","Alto riesgo con terapia intensiva",23,"Privado","Privado",2,"CABA",2,"COMUNA 2",2002010001,"RECOLETA","1425","Paraguay 3144","(011) 4966-2999","(011) 4964-1958","","",-34.594851248058,-58.4119892120361,"-seleccione-"
"10",14020012315463,NA,"CLINICA ALTERGARTEN","ESCIE","Establecimiento de salud con internación especializada en otras especialidades","ESCIE","Bajo riesgo con internación simple",23,"Privado","Privado",2,"CABA",11,"COMUNA 11",2011010002,"VILLA DEVOTO","1419","Av. Beiró 3735","(011) 4501-5428","(011) 4504-4901","","",-34.6019164216471,-58.5055446624756,"-seleccione-"
