id,direccion
2,SANTANDER 5101
4,AV RIVADAVIA 8900
4,JURAMENTE y cabildo
5,AV CORRIENTES 5000
6,AV CABILDO y Pico
6,AV RIVADAVIA 6202
10,MORENO 2502
11,LIBERTAD y Libertador
13,PERU 402
14,santa fe 3944
18,JERONIMO SALGUERO 3345
18,SALGUERO y PARAGUAY
22,TUCUMAN 2302
23,AV CASEROS 3600
25,AV JUAN B. JUSTO 3483
25,LA RIOJA 1905
25,OLAVARRIA 837
27,AV SAN PEDRITO 296
30,"DELLEPIANE, LUIS, TTE. GRAL. 4751"
32,CORDOBA 2401
32,AV SAN MARTIN 2802
32,AV VARELA 1158
33,AV BELGRANO 2509
34,AV DR. RICARDO BALBIN 4026
37,GARCIA DEL RIO 4097
40,AV CONGRESO 3101
41,SALCEDO 3430
42,AV INDEPENDENCIA 1460
42,PICHINCHA 211
45,AV CASEROS 3555
49,ECUADOR 1651
51,AV CORONEL DIAZ 2299
53,GUEMES 3271
56,AV FEDERICO LACROZE 3801
57,IRIGOYEN B. 430
58,OLAVARRIA 1363
59,AV LAS HERAS 2318
59,AV SAENZ 1028
60,AVELLANEDA 528
63,AV CNEL CARDENAS 2716
64,LIMA 595
65,AV CARABOBO 1000
65,AV GAONA 3501
67,AV CORDOBA 3599
67,AV SAN JUAN 2701
67,RIO DE JANEIRO 102
68,AV SAN MARTIN 2311
69,AV GRAL PAZ 4998
73,AV JUAN B. ALBERDI 6102
74,AV PATRICIAS ARGENTINAS 351
74,AV RIVADAVIA 2358
75,AV CONGRESO 2182
78,BARTOLOME MITRE 2542
79,AV LIBERTADOR 6636
81,ALTE BROWN 900
81,AV SANTA FE 2166
86,AV SAN MARTIN 1851
89,AV RICARDO BALBIN 4955
90,AV JUAN B. JUSTO 7100
90,LISANDRO DE LA TORRE 1741
94,MONTES DE OCA 1109
99,AV CORONEL DIAZ 1723
99,PEDRO I. RIVERA 5801
105,AV EVA PERON 3642
106,AV LAS HERAS 2002
106,CARLOS CALVO 1183
106,MONROE 4968
107,AV CABILDO 2517
108,JOSE LEON SUAREZ 53
108,PARAGUAY 2701
109,AGUERO 1926
111,LA RIOJA 2099
113,AV ALVAREZ JONTE 3202
114,BRASIL 800
117,JUNIN 43
119,AV ESTADO DE ISRAEL 4784
119,AV SAN JUAN 2684
121,AV DIAZ VELEZ 5402
