ID,X,Y,NOMBRE,CALLE,ALTURA,REPRES_TECNICO,TELEFONO,MAIL,NOM_GEO,COMUNAS,BARRIOS,SUMI_ELECTRICO,POBLACION,GRUP_ELECT,SUMINISTR
77,"-58,47849125","-34,69048377",MEGA HOME,AV FERNANDEZ DE LA CRUZ,6920,CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,"6920 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",COMUNA 08,VILLA RIACHUELO,EDESUR,32,NO,
497,"-58,4731787","-34,67651689",EL HOGAR DE DORA,SAYOS,5554,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,5554 SAYOS,COMUNA 08,VILLA LUGANO,EDESUR,S/D,NO,CORTES PROLONGADOS LES PROVEE UN GRUPO EDESUR
108,"-58,47365174","-34,67592304",ETERNA S.R.L.,AV RIESTRA,5540,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,5540 RIESTRA AV.,COMUNA 08,VILLA LUGANO,EDESUR,S/D,NO,
302,"-58,50206822","-34,66582389",PARA ABUELOS MI REFUGIO SRL,GRAL EUGENIO GARZON,6870,CARNEVALE MABEL,5252-0909/15-5247-4239,arquitecta.mc@gmail.com,6870/6854 GARZON EUGENIO GENERAL,COMUNA 09,MATADEROS,EDESUR,,,
256,"-58,48003531","-34,66174243",SONIA  ESTER ROA,ECHEANDIA,4987,CARNEVALE MABEL,5252-0909/15-5247-4239,arquitecta.mc@gmail.com,4987 ECHEANDIA,COMUNA 08,VILLA LUGANO,EDESUR,,,
347,"-58,44218601","-34,66131978",RES. GER. LA CASA DE MAMA,JOSE MARTI,3133,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
182,"-58,51107502","-34,65621752",RES. GER. ELIT,CAÑADA DE GOMEZ,1721,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
317,"-58,48382255","-34,655841",HOGAR SAN ANDRES,GREGORIO DE LAFERRERE,5045,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,"5045/51 LAFERRERE, GREGORIO DE",COMUNA 09,MATADEROS,EDESUR,,,
470,"-58,37667335","-34,65308347",SANTA ISABEL,SAN ANTONIO,948,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,948 SAN ANTONIO,COMUNA 04,BARRACAS,EDESUR,,,
419,"-58,50566769","-34,65177953",JUAN Y AGUSTINA GUEREÑO,OLIDEN,1361,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
391,"-58,47547265","-34,65102643",INST. GER. SAN LUCAS,MEDINA,1650,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
278,"-58,41805548","-34,65081993",NUEVA POMPEYA,FOURNIER,3014,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
511,"-58,48890686","-34,65075943",LA CASA DE AMANDA,TANDIL,4870,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,4870 TANDIL,COMUNA 09,MATADEROS,EDESUR,S/D,NO,
503,"-58,50518155","-34,65024473",RES. GER. LA FE,S. GARCIA GDE DE ZEQUEIRA,6088,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
488,"-58,38033937","-34,64981812",GER. CASA GRANDE,SANTA MAGDALENA,615,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,615/17 SANTA MAGDALENA,COMUNA 04,BARRACAS,EDESUR,,,
73,"-58,50992632","-34,64945809",GER. VERCIAN S.R.L.,AV EMILIO CASTRO,6262,ROMAGNOLI,4301-6695,,,,,,,,
469,"-58,37817075","-34,64937263",CENTRO INTEGRAL DE GERIATRIA SRL,SAN ANTONIO,611,RIZZO MAXIMILIANO RAI,4632-6031,inspeccioninmuebles@yahoo.com.ar,611 SAN ANTONIO,COMUNA 04,BARRACAS,EDESUR,,,
176,"-58,3826012","-34,64913011",LE SA,CALIFORNIA,2580,STEIZEL ARIEL,15-4972-9889,ariel@gruposh.com.ar,2580 CALIFORNIA,COMUNA 04,BARRACAS,EDESUR,,,
371,"-58,51789947","-34,64891465",MI SEGUNDO HOGAR,LISANDRO DE LA TORRE,938,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,"938 DE LA TORRE, LISANDRO",COMUNA 09,LINIERS,EDESUR,S/D,NO,
85,"-58,37335655","-34,64831799",RINCON DEL SUR,AV IRIARTE,1756,STEIZEL ARIEL,15-4972-9889,ariel@gruposh.com.ar,"1756 IRIARTE, GRAL. AV.",COMUNA 04,BARRACAS,EDESUR,,,
171,"-58,51920656","-34,64747128",GER. SERENA,CAAGUAZU,6656,PELAEZ ALBERTO MANUEL,4922-7065,consultora@apelaez.com.ar,6656 CAAGUAZU,COMUNA 09,LINIERS,EDESUR,,,
172,"-58,51885953","-34,64599493",SAN NICOLAS,CAFAYATE,643,HERMIDA DIEGO RODOLFO,15-6520-6678,diego_hermida72@yahoo.com.ar,643 CAFAYATE,COMUNA 09,LINIERS,EDESUR,11,NO,
529,"-58,52753804","-34,64486404",HOGAR SAN NICOLAS,TUYUTI,7220,HERMIDA DIEGO RODOLFO,15-6520-6678,diego_hermida72@yahoo.com.ar,7220 TUYUTI,COMUNA 09,LINIERS,EDESUR,13,NO,
94,"-58,47546215","-34,64477406",GER. NUEVO HORIZONTE,AV LACARRA,1152,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,1152 LACARRA AV.,COMUNA 09,PARQUE AVELLANEDA,EDESUR,S/D,NO,
403,"-58,48642797","-34,6447548",HERMANITAS DE LOS  ANCIANOS DESAMPARADOS,MORETO,767,RAICH GUSTAVO CLAUDIO,15-5157-5716,g_raich@yahoo.com.ar,767 MORETO,COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
418,"-58,51439896","-34,64467608",HOGAR MI ESPERANZA,OLIDEN,576,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,576 OLIDEN,COMUNA 09,LINIERS,EDESUR,,,
481,"-58,47553363","-34,6440524",ESTABLECIMIENTO GER. STELLA MARIS,SAN PEDRO,4060,PEREYRA MIGUEL ANGEL,4482-1521,miguel_pereyra@yahoo.com,4060 SAN PEDRO,COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
236,"-58,49054585","-34,64392057",SANTA ANA,DAMASOLARRAÑAGA,640,LEIVA DAMIAN MARCELO,15-5039-3308,damianmarceloleiva@yahoo.com.ar,"640LARRAÑAGA, DAMASO",COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
81,"-58,52876973","-34,64384981",PATRICIA LEONOR FARIAS,AV GRAL. PAZ,11000,CALBO PABLO DANIEL,4782-3356/15-5503-7304,ingpablocalbo@yahoo.com.ar,"11000 PAZ, GRAL. AV.",COMUNA 09,LINIERS,EDENOR,,,
363,"-58,51175216","-34,64380458",NTRA SEÑORA DE LUJAN S.R.L,LARRAZABAL,451,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,451 LARRAZABAL,COMUNA 09,LINIERS,EDESUR,,,
170,"-58,51473339","-34,64360061",ESTABLECIMIENTO GER.,CAAGUAZU,6144,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
443,"-58,46837205","-34,64343762",RES. PARA LA 3RA EDAD EMUNA S. R. L.,PERGAMINO,1044,CERIMEDO CARLOS ALFREDO,15-6274-9504,ingcerimedoutnfrba@yahoo.com.ar,1044 PERGAMINO,COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
480,"-58,47431895","-34,64320326",GAVILAN,SAN PEDRO,3958,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,3958 SAN PEDRO,COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
447,"-58,51504337","-34,6425865",HOGAR SAN NICOLAS,PIERES,238,HERMIDA DIEGO RODOLFO,15-6520-6678,diego_hermida72@yahoo.com.ar,238 PIERES,COMUNA 09,LINIERS,EDESUR,14,NO,
133,"-58,46479669","-34,64227346",SAN AGUSTIN,B. FERNANDEZ MORENOV,3214,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
362,"-58,47650296","-34,64218753",NUESTROS ABUELOS,LAGUNA,852,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
281,"-58,47068481","-34,64211644",GER. HOGARES CANADAS SRL,FRANCISCO BILBAO,3533,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,"3533 BILBAO, FRANCISCO",COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
386,"-58,47445555","-34,64202351",GER. HERIBERTO ROMAN MERCADO ROMERO,MARTINEZ CASTRO,828,VACA VILLARROEL MAURO HUGO,15-5041-0924,vacavi@uolsinectis.com.ar,828 MARTINEZ CASTRO,COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
95,"-58,46283632","-34,64190749",ESTABLECIMIENTO GER. LAFUENTE,AV LAFUENTE,961,CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,961/63 LAFUENTE AV.,COMUNA 07,FLORES,EDESUR,32,NO,
12,"-58,50734604","-34,64187652",RES. GER. HOGAR DEL CARMEN,ALBARIÑO,360,GOMEZ DANIEL ALBERTO,15-655-3612,,,,,,,,
337,"-58,52721645","-34,6416194",GUSTAVO OMAR CANOSA GER. NTRA SRA DE LUJAN,IBARROLA,7177,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
310,"-58,37375304","-34,64048465",SANTA LUCIA DE J. ANGEL WOLOSZYN,GRAL.G. ARAOZ DE LAMADRID,1561,LEIVA DAMIAN MARCELO,15-5039-3308,damianmarceloleiva@yahoo.com.ar,"1561 ARAOZ DE LAMADRID, GREGORIO, GRAL.",COMUNA 04,BARRACAS,EDESUR,,,
174,"-58,49322733","-34,64035569",RES. GER. LAS ROSAS,CAJARAVILLA,4721,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
509,"-58,47720645","-34,64034845",MARGARITA ESPINOZA,TANDIL,3824,ESPINOSA JOSE CARLOS,15-6050-7553,ing.josecespinosa@gmail.com,3824 TANDIL,COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
89,"-58,48495466","-34,63990299",LA FAMILIA,AV JUAN BAUTISTA ALBERDI,4205,ABUIN RAI HECTOR,15-5962-6013,raul_abuin@yahoo.com.ar,"4205/09 ALBERDI, JUAN BAUTISTA AV.",COMUNA 10,VELEZ SARSFIELD,EDESUR,,,CAMBIO DE REPRESENTANTE TECNICO
348,"-58,4686843","-34,63976521",RES. DI SALVO,JOSE MARTI,718,ROVENZANO SERGIO,15-5155-0741,higieneyseguridadslr@yahoo.com.ar,"718/22 MARTI, JOSE",COMUNA 07,FLORES,EDESUR,,,
408,"-58,42242944","-34,63972947",SAN MARCOS,MUÑIZ,2175,ADRIANA MUÑIZ,15-6155-4283,aimuniz@hotmail.com,2175 MUÑIZ,COMUNA 05,BOEDO,EDESUR,,,
528,"-58,51413132","-34,63968607",TUYU,TUYU,36,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,36 TUYU,COMUNA 09,LINIERS,EDESUR,S/D,SI,CUBRE LAS NECESIDADES BASICAS DEL ESTABLECIMIENTO
51,"-58,41770587","-34,63925616",GER. CASEROS 3746,AV CASEROS,3746,CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,3746 CASEROS AV.,COMUNA 04,NUEVA POMPEYA,EDESUR,20,NO,
259,"-58,43497","-34,63910647",GER. DE OMAR EZEQUIEL BONINO,EL ARTESANO,1251,FEBRERO LUCIANO,15-6471-4621/3968-1325,lucianofebrero@gmail.com,1251 EL ARTESANO,COMUNA 07,PARQUE CHACABUCO,EDESUR,,,
379,"-58,49922657","-34,63898325",HOGAR MIS ABUELAS,MANZONI,121,MINOTTI CARLOS AGUSTIN,4523-4889,carlosminotti@yahoo.com.ar,121 MANZONI,COMUNA 10,VILLA LURO,EDESUR,S/D,NO,
449,"-58,47055578","-34,63850365",SANTA ROSA,PORTELA,571,LIZASO ESTEBAN,15-5057-4121,,,,,,,,
381,"-58,47671915","-34,63848525",EL JARDIN DE LA ARMONIA,MARIANO ACOSTA,515,BOURET CARLOS,4631-8409,cabouret@gmail.com,"515 ACOSTA, MARIANO",COMUNA 09,PARQUE AVELLANEDA,EDESUR,,,
110,"-58,50506404","-34,63830792",LUCAS MARTIN PONTILLO,AV RIVADAVIA,10040,CLEIMAN DEMIAN,4833-5900,info@ehsweb.com.ar,10040 RIVADAVIA AV.,COMUNA 10,VILLA LURO,EDESUR,,,
467,"-58,50611651","-34,63790476",JAVIER ORLANDO RIZZO,RUIZ DE LOS LLANOS,52,FEBRERO LUCIANO,15-6471-4621/3968-1325,lucianofebrero@gmail.com,52 RUIZ DE LOS LLANOS,COMUNA 10,VILLA LURO,EDESUR,,,
61,"-58,44516531","-34,63752533",HOGAR PARA MAYORES SAN PANTALEON,AV CURAPALIGUE,1316,CASALINUOVO JOSE NICOLAS,4766-4926,jncasalinuovo@hotmail.com,1316 CURAPALIGUE AV.,COMUNA 07,PARQUE CHACABUCO,EDESUR,,,
