X,Y,NOMBRE,CALLE,ALTURA,REPRES_TEC,TELEFONO,MAIL,NOM_GEO,COMUNAS,BARRIOS,SUMI_ELECT,POBLAC,GRUP_ELECT,SUMINISTR,ID
-58.4697984081768,-34.6000214816507,RES. 12 DE OCTUBRE DE NORMA ADRIANA SOLARI,12 DE OCTUBRE,"1665",ROMAGNOLI,"4301-6695;155-248-7652",gustavojromagnoli@speedy.com.ar,1665 12 DE OCTUBRE,Comuna 15,Paternal,Edesur,,,,"1"
-58.4101202826349,-34.6277420727587,HOGAR ENTRE AMIGOS,24 DE NOVIEMBRE,"1421",GRIFFO MATIAS NICOLAS,155-339-2274,mgriffo_2000@yahoo.com,1421 24 DE NOVIEMBRE,Comuna 3,San Cristobal,Edesur,,,CAMBIO DE REPRESENTANTE TÉCNICO,"2"
-58.4522296188519,-34.5590565206147,CLUB RES.L FLOR DE LIS,3 DE FEBRERO,2115/21,ALIMENA EDUARDO NAHUEL,154-421-9217,"nahuel@alimena.com.ar, lauraperezarias@sion.com",2115/21 3 DE FEBRERO,Comuna 13,Belgrano,Edenor,,,,"3"
-58.4246163548119,-34.6143681265097,OMEGA III S.R.L.,33 ORIENTALES,78/82,ADRIANA MU¥IZ,"1561554283",aimuniz@hot.mail.com,78/82 TREINTA Y TRES ORIENTALES,Comuna 5,Almagro,Edesur,,,,"4"
-58.4412173908814,-34.5984672754053,STELLA MARIS,ACEVEDO,356/360,CUENCA GUILLERMO JUAN,4797-8032,guillermocuenca@gmail.com,356/360 ACEVEDO,Comuna 15,Villa Crespo,Edesur,,,,"5"
-58.4346234550286,-34.5941752624418,GER. LA CASA DE LA BOBE,ACEVEDO,"950",CERVERA ROBERTO HUGO,4545-7331,r_cervera@yahoo.com,950 ACEVEDO,Comuna 15,Villa Crespo,Edesur,"22",NO,,"6"
-58.4472952435988,-34.6320291550646,MEDALLA MILAGROSA,ACHAVAL,"640",CAUMO MARIANO,4632-1736 / 1158,inspeccioninmuebles@yahoo.com.ar,640 ACHAVAL,Comuna 7,Parque Chacabuco,Edesur,,,,"7"
-58.4103233120159,-34.597463028362,RES. GER. STA MARIA DEL BUEN AYRE,AGERO,"1056",LIZASO ESTEBAN,"155-057-4121;4302-3345",hg_argentina@yahoo.com.ar,1056 AGUERO,Comuna 2,Recoleta,Edenor,S/D,NO,,"8"
-58.4474422031449,-34.5694200735466,BELGRANO,AGUILAR,"2438",ADRIANA MU¥IZ,"1561554283",aimuniz@hot.mail.com,2438 AGUILAR,Comuna 13,Colegiales,Edenor,,,,"9"
-58.4997780464237,-34.5724752492996,MACAMAX S.A.,AIZPURUA,"3163",ZWIEBEL MARCELO,47035994/96,info@mzconsultores.com.ar,3163 AIZPURUA,Comuna 12,Villa Urquiza,Edenor,,,,"10"
-58.5012928871915,-34.570751963882,VILLA MAYOR RES. RUBEN S. ROISMAN,AIZPURUA,"3338",FANDI¥O MARTIN SANTIAGO,155-865-7958,msfandino@gmail.com,3338 AIZPURUA,Comuna 12,Villa Urquiza,Edenor,,,,"11"
-58.507346040525,-34.6418765156497,RES. GER. HOGAR DEL CARMEN,ALBARI¥O,356/60/64,GOMEZ DANIEL ALBERTO,"156-553-612; 154-071-6629",gomez_daniel28@yahoo.com.ar,356/60/64 ALBARI¥O,Comuna 10,Villa Luro,Edesur,"41",NO,,"12"
